0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
3649,S,EOaMLnbtsRlcProf101SnFieldLengthUL,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
3652,S,EOaMLnbtsRlcProf101TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
3684,S,SOaMRlcProf101,,,17,0,0,16,0,4,4,0,0,0,1,0,0,""
3689,S,TOaMLnbtsRlcProf102RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
3690,S,EOaMLnbtsRlcProf102SnFieldLengthDL,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
3693,S,EOaMLnbtsRlcProf102SnFieldLengthUL,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
3696,S,EOaMLnbtsRlcProf102TReord,,,4,1,0,4,5,31,0,0,0,0,1,0,0,""
3728,S,SOaMRlcProf102,,,17,0,0,16,0,4,4,0,0,0,1,0,0,""
3733,S,TOaMLnbtsRlcProf103RlcProfileId,,,4,0,0,4,0,0,0,0,0,0,0,0,0,""
3734,S,EOaMLnbtsRlcProf103SnFieldLengthDL,,,4,1,0,4,1,2,0,0,0,0,1,0,0,""
