0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
988,F,SRp3CtrlData,rp3Bandwidth,ERp3Bandwidth,4,1,0,4,0,7,0,1,0,1,1,0,941,""
989,F,SRp3CtrlData,rp3Ant1Enable,ERp3AntEnable,4,1,4,4,0,3,0,1,0,1,1,0,949,""
990,F,SRp3CtrlData,rp3Ant2Enable,ERp3AntEnable,4,1,8,4,0,3,0,1,0,1,1,0,949,""
991,F,SRp3CtrlData,rp3TxEnable,ERp3TxEnable,4,1,12,4,0,3,0,1,0,1,1,0,953,""
992,F,SRp3CtrlData,rp3AntSource,ERp3AntSource,4,1,16,4,0,19,0,1,0,1,1,0,957,""
993,F,SRp3CtrlData,rp3Lane,ERp3Lane,4,1,20,4,0,3,0,1,0,1,1,0,977,""
994,F,SRp3CtrlData,rp3Carrier,ERp3Carrier,4,1,24,4,0,5,0,1,0,1,1,0,981,""
1043,F,SNpdcchParameters,npdcchStartSfRa,EErrcNpdcchStartSFUSSR13,4,1,0,4,0,8,0,1,0,1,1,0,1010,""
1044,F,SNpdcchParameters,npdcchMaxNumRepRa,EErrcNpdcchNumRepetitionsR13,4,1,4,4,0,16,0,1,0,1,1,0,1019,""
1045,F,SNpdcchParameters,npdcchOffsetRa,EErrcNpdcchOffsetUSSR13,4,1,8,4,0,4,0,1,0,1,1,0,1036,""
1046,F,SNpdcchParameters,npdcchCssNumRepPag,TNpdcchNumRepetitionPagingR13,4,0,12,4,0,0,0,0,0,1,1,0,1041,""
1101,F,SUecNbCoverageSpecificParameters,npdcchConfig,SNpdcchParameters,17,0,0,16,0,4,0,0,0,1,1,0,1042,""
1102,F,SUecNbCoverageSpecificParameters,logicalChanSrProhibitTimerNB,EErrcLogicalChannelSRProhibitTimerR13,4,1,16,4,0,8,0,1,0,1,1,0,1047,""
1103,F,SUecNbCoverageSpecificParameters,tReTxBsrTimeNB,EErrcRetxBSRTimerNBR13,4,1,20,4,0,8,0,1,0,1,1,0,1056,""
1104,F,SUecNbCoverageSpecificParameters,maxRetxThreNB,EErrcMaxRetxThresholdR13,4,1,24,4,0,8,0,1,0,1,1,0,1065,""
1105,F,SUecNbCoverageSpecificParameters,tPollRetrNB,EErrcTPollRetransmitNBR13,4,1,28,4,0,16,0,1,0,1,1,0,1074,""
1106,F,SUecNbCoverageSpecificParameters,ackNACKNumRep,EErrcACKNACKNumRepetitionsNBR13,4,1,32,4,0,8,0,1,0,1,1,0,1091,""
1140,F,SUecNonAnchorDlSpecificParameters,dlNonAnchorPrbIndex,,4,0,0,4,0,0,0,0,0,1,0,0,0,""
1141,F,SUecNonAnchorDlSpecificParameters,dlCarrierFreqR13,TErrcARFCNValueEUTRAR9,5,0,4,4,0,0,0,0,0,1,1,0,1107,""
1142,F,SUecNonAnchorDlSpecificParameters,dlCarrierFreqOffsetR13,EErrcCarrierFreqOffsetR13,4,1,8,4,0,21,0,1,0,1,1,0,1108,""
1143,F,SUecNonAnchorDlSpecificParameters,nrsPowerOffsetNonAnchorR1330,EErrcNrsPowerOffsetNonAnchorV1330,4,1,12,4,0,8,0,1,0,1,1,0,1130,""
1145,F,SNbIotParameters,numOfCoverageSpecificParameters,TNumberOfItems,4,0,0,4,0,0,0,0,0,1,1,0,427,""
1146,F,SNbIotParameters,coverageSpecificParameters,,14,0,4,108,0,3,0,0,0,1,1,0,0,""
1147,F,SNbIotParameters,coverageSpecificParameters,SUecNbCoverageSpecificParameters,17,0,0,36,0,6,0,0,0,2,1,0,1100,""
1148,F,SNbIotParameters,p0uePusch,,1,0,112,1,0,0,0,0,0,1,0,0,0,""
1149,F,SNbIotParameters,paddingP0uePusch1,,0,0,113,1,0,0,0,0,0,1,0,0,0,""
1150,F,SNbIotParameters,paddingP0uePusch2,,0,0,114,1,0,0,0,0,0,1,0,0,0,""
1151,F,SNbIotParameters,paddingP0uePusch3,,0,0,115,1,0,0,0,0,0,1,0,0,0,""
1152,F,SNbIotParameters,numOfNonAnchorDlSpecificParameters,TNumberOfItems,4,0,116,4,0,0,0,0,0,1,1,0,427,""
1153,F,SNbIotParameters,nonAnchorDlSpecificParameters,,14,0,120,128,0,8,0,0,0,1,1,0,0,""
1154,F,SNbIotParameters,nonAnchorDlSpecificParameters,SUecNonAnchorDlSpecificParameters,17,0,0,16,0,4,0,0,0,2,1,0,1139,""
1155,F,SNbIotParameters,ulCarrierFreqR13,TErrcARFCNValueEUTRAR9,5,0,248,4,0,0,0,0,0,1,1,0,1107,""
1156,F,SNbIotParameters,ulCarrierFreqOffsetR13,EErrcCarrierFreqOffsetR13,4,1,252,4,0,21,0,1,0,1,1,0,1108,""
1161,F,SPrimaryPlmnId,mcc,TOaMMcc,4,0,0,4,0,0,0,0,0,1,1,0,1157,""
1162,F,SPrimaryPlmnId,mnc,TOaMMnc,4,0,4,4,0,0,0,0,0,1,1,0,1158,""
1163,F,SPrimaryPlmnId,mncLength,TOaMMncLength,4,0,8,4,0,0,0,0,0,1,1,0,1159,""
1169,F,SOaMFurtherPlmnIdL,autoRemovalAllowed,TOaMAutoRemovalAllowed,4,0,0,4,0,0,0,0,0,1,1,0,1164,""
1170,F,SOaMFurtherPlmnIdL,cellReserve,EOaMCellReserve,4,1,4,4,0,2,0,1,0,1,1,0,1165,""
1171,F,SOaMFurtherPlmnIdL,mcc,TOaMMcc,4,0,8,4,0,0,0,0,0,1,1,0,1157,""
1172,F,SOaMFurtherPlmnIdL,mnc,TOaMMnc,4,0,12,4,0,0,0,0,0,1,1,0,1158,""
1173,F,SOaMFurtherPlmnIdL,mncLength,TOaMMncLength,4,0,16,4,0,0,0,0,0,1,1,0,1159,""
1175,F,SArrayOfOaMFurtherPlmnIdL,hasFurtherPlmnIdL,TBoolean,4,0,0,4,0,0,0,0,0,1,1,0,457,""
1176,F,SArrayOfOaMFurtherPlmnIdL,numOfFurtherPlmnIdL,TNumberOfItems,4,0,4,4,0,0,0,0,0,1,1,0,427,""
1177,F,SArrayOfOaMFurtherPlmnIdL,furtherPlmnIdL,,14,0,8,100,0,5,0,0,0,1,1,0,0,""
1178,F,SArrayOfOaMFurtherPlmnIdL,furtherPlmnIdL,SOaMFurtherPlmnIdL,17,0,0,20,0,5,0,0,0,2,1,0,1168,""
1267,F,SQciTabNbrUl,hasNbrUl,TBoolean,4,0,0,4,0,0,0,0,0,1,1,0,457,""
1268,F,SQciTabNbrUl,nbrUl,,4,0,4,4,0,0,0,0,0,1,0,0,0,""
1270,F,SQciTabNbrDl,hasNbrDl,TBoolean,4,0,0,4,0,0,0,0,0,1,1,0,457,""
1271,F,SQciTabNbrDl,nbrDl,,4,0,4,4,0,0,0,0,0,1,0,0,0,""
1282,F,SQciTab,qciTabDscp,TQciTabDscp,4,0,0,4,0,0,0,0,0,1,1,0,1180,""
1283,F,SQciTab,qciTabPdcpProfId,TQciTabPdcpProfId,4,0,4,4,0,0,0,0,0,1,1,0,1181,""
1284,F,SQciTab,qciTabPrio,TQciTabPrio,4,0,8,4,0,0,0,0,0,1,1,0,1182,""
1285,F,SQciTab,qciTabQci,TQciTabQci,4,0,12,4,0,0,0,0,0,1,1,0,1183,""
1286,F,SQciTab,qciTabSupp,EQciTabSupp,4,1,16,4,0,2,0,1,0,1,1,0,1184,""
1287,F,SQciTab,qciTabResType,EQciTabResType,4,1,20,4,0,3,0,1,0,1,1,0,1187,""
1288,F,SQciTab,qciTabRlcMode,EQciTabRlcMode,4,1,24,4,0,3,0,1,0,1,1,0,1191,""
1289,F,SQciTab,qciTabRlcProfId,TQciTabRlcProfId,4,0,28,4,0,0,0,0,0,1,1,0,1195,""
1290,F,SQciTab,hasQciTabRlcProfIdx3cc,TBoolean,4,0,32,4,0,0,0,0,0,1,1,0,457,""
1291,F,SQciTab,qciTabRlcProfIdx3cc,TQciTabRlcProfId,4,0,36,4,0,0,0,0,0,1,1,0,1195,""
1292,F,SQciTab,hasQciTabRlcProfIdx4cc5cc,TBoolean,4,0,40,4,0,0,0,0,0,1,1,0,457,""
1293,F,SQciTab,qciTabRlcProfIdx4cc5cc,TQciTabRlcProfId,4,0,44,4,0,0,0,0,0,1,1,0,1195,""
1294,F,SQciTab,hasQciTabSchedulWeight,TBoolean,4,0,48,4,0,0,0,0,0,1,1,0,457,""
1295,F,SQciTab,qciTabSchedulWeight,TQciTabSchedulWeight,4,0,52,4,0,0,0,0,0,1,1,0,1196,""
1296,F,SQciTab,hasQciTabSchedulWeightUl,TBoolean,4,0,56,4,0,0,0,0,0,1,1,0,457,""
1297,F,SQciTab,qciTabSchedulWeightUl,TQciTabSchedulWeight,4,0,60,4,0,0,0,0,0,1,1,0,1196,""
1298,F,SQciTab,hasQciTabSchedulWeightDl,TBoolean,4,0,64,4,0,0,0,0,0,1,1,0,457,""
1299,F,SQciTab,qciTabSchedulWeightDl,TQciTabSchedulWeight,4,0,68,4,0,0,0,0,0,1,1,0,1196,""
1300,F,SQciTab,schedulType,EOaMSchedulType,4,1,72,4,0,2,0,1,0,1,1,0,1197,""
1301,F,SQciTab,qciTabLcgid,EQciTabLcgid,4,1,76,4,0,4,0,1,0,1,1,0,1200,""
1302,F,SQciTab,delayTarget,EUecQciTabDelayTarget,4,1,80,4,0,41,0,1,0,1,1,0,1205,""
1303,F,SQciTab,qciTabschedulBSD,EQciTabUlsBsd,4,1,84,4,0,6,0,1,0,1,1,0,1247,""
1304,F,SQciTab,qciTabschedulPrio,TQciTabUlsPrio,4,0,88,4,0,0,0,0,0,1,1,0,1254,""
1305,F,SQciTab,qciTabDrxProfileIndex,EDrxProfileIndex,4,1,92,4,0,9,0,1,0,1,1,0,1255,""
1306,F,SQciTab,counterGroup,TOaMCounterGroup,4,0,96,4,0,0,0,0,0,1,1,0,1265,""
1307,F,SQciTab,hasQciTabNbrUl,TBoolean,4,0,100,4,0,0,0,0,0,1,1,0,457,""
1308,F,SQciTab,qciTabNbrUl,SQciTabNbrUl,17,0,104,8,0,2,0,0,0,1,1,0,1266,""
1309,F,SQciTab,hasQciTabNbrDl,TBoolean,4,0,112,4,0,0,0,0,0,1,1,0,457,""
1310,F,SQciTab,qciTabNbrDl,SQciTabNbrDl,17,0,116,8,0,2,0,0,0,1,1,0,1269,""
1311,F,SQciTab,qciTabMaxGbrDl,TQciTabMaxGbrDl,4,0,124,4,0,0,0,0,0,1,1,0,1272,""
1312,F,SQciTab,qciTabMaxGbrUl,TQciTabMaxGbrUl,4,0,128,4,0,0,0,0,0,1,1,0,1273,""
1313,F,SQciTab,qciTabL2OHFactorDL,TQciTabL2OHFactorDL,4,0,132,4,0,0,0,0,0,1,1,0,1274,""
1314,F,SQciTab,qciTabL2OHFactorUL,TQciTabL2OHFactorUL,4,0,136,4,0,0,0,0,0,1,1,0,1275,""
1315,F,SQciTab,qciTabEnforceTtiBundling,TQciTabEnforceTtiBundling,4,0,140,4,0,0,0,0,0,1,1,0,1276,""
1316,F,SQciTab,lteNrDualConnectSupport,ELteNrDualConnectSupport,4,1,144,4,0,2,0,1,0,1,1,0,1277,""
1317,F,SQciTab,hasNrPdcpProfIdx,TBoolean,4,0,148,4,0,0,0,0,0,1,1,0,457,""
1318,F,SQciTab,nrPdcpProfIdx,TNrPdcpProfId,4,0,152,4,0,0,0,0,0,1,1,0,1280,""
1337,F,SAmRlcPbTab,amRlcPbTabUeCategory,TAmRlcPbTabUeCategory,4,0,0,4,0,0,0,0,0,1,1,0,1319,""
1338,F,SAmRlcPbTab,amRlcPbTabDlPollByte,EAmRlcPbTabPollByte,4,1,4,4,0,15,0,1,0,1,1,0,1320,""
1339,F,SAmRlcPbTab,amRlcPbTabUlPollByte,EAmRlcPbTabPollByte,4,1,8,4,0,15,0,1,0,1,1,0,1320,""
1419,F,SOaMLnbtsRlcProf1TPollRetr,hasTPollRetr,TBoolean,4,0,0,4,0,0,0,0,0,1,1,0,457,""
1420,F,SOaMLnbtsRlcProf1TPollRetr,tPollRetr,EOaMLnbtsRlcProf1TPollRetr,4,1,4,4,0,55,0,1,0,1,1,0,1362,""
1478,F,SOaMLnbtsRlcProf1TPollRetrDl,hasTPollRetrDl,TBoolean,4,0,0,4,0,0,0,0,0,1,1,0,457,""
1479,F,SOaMLnbtsRlcProf1TPollRetrDl,tPollRetrDl,EOaMLnbtsRlcProf1TPollRetrDl,4,1,4,4,0,55,0,1,0,1,1,0,1421,""
1537,F,SOaMLnbtsRlcProf1TPollRetrUl,hasTPollRetrUl,TBoolean,4,0,0,4,0,0,0,0,0,1,1,0,457,""
1538,F,SOaMLnbtsRlcProf1TPollRetrUl,tPollRetrUl,EOaMLnbtsRlcProf1TPollRetrUl,4,1,4,4,0,55,0,1,0,1,1,0,1480,""
